tweet_id,author_id,created_at,text
115827,115711,2026-09-01T08:01:00Z,"@AppleSupport My iPhone 13 battery is dying so quickly after the new iOS update! From 100% to 20% in 3 hours! Fix this!"
115828,115712,2026-09-01T08:05:00Z,"@AppleSupport I was charged $9.99 twice for Apple Music subscription this month. Need an immediate refund please."
115829,115713,2026-09-01T08:12:00Z,"@AppleSupport photos are not syncing with iCloud across my Mac and iPad. iCloud storage shows 45GB available."
115830,115714,2026-09-01T08:15:00Z,"@AppleSupport my iPhone 14 Pro screen started flickering with green lines after dropping it lightly on carpet. Is screen replacement covered by AppleCare+?"
115831,115715,2026-09-01T08:22:00Z,"@AppleSupport unable to install the latest iOS 17.6 update. It keeps giving an 'Unable to Verify Update' error message."
115832,115716,2026-09-01T08:30:00Z,"@AppleSupport right AirPod Pro (2nd gen) has static crackling sound and won't charge in the case."
115833,115717,2026-09-01T08:35:00Z,"@AppleSupport I forgot my Apple ID password and my recovery phone number is no longer active. How do I regain account access?"
115834,115718,2026-09-01T08:44:00Z,"@AppleSupport Apple Watch Series 8 won't turn on even after charging on the magnetic puck overnight. Red lightning icon appears."
115835,115719,2026-09-01T08:50:00Z,"@AppleSupport Someone accessed my Apple ID and purchased $500 in gift cards without authorization! URGENT help needed!"
115836,115720,2026-09-01T09:02:00Z,"@AppleSupport how do I transfer eSIM from my old iPhone 12 to a new iPhone 15? Carrier is Verizon."
115837,115721,2026-09-01T09:15:00Z,"@AppleSupport iPad Air 5 battery drains 40% overnight in standby mode with background app refresh turned off."
115838,115722,2026-09-01T09:25:00Z,"@AppleSupport subscription renewed automatically even though I cancelled it 3 days before renewal date."
115839,115723,2026-09-01T09:40:00Z,"@AppleSupport Notes and Reminders stopped syncing over iCloud on macOS Sonoma. Web version has latest notes."
115840,115724,2026-09-01T09:55:00Z,"@AppleSupport MacBook Pro M2 trackpad is unresponsive and physical click doesn't register."
115841,115725,2026-09-01T10:04:00Z,"@AppleSupport update download is stuck at 'Preparing Update...' for over 4 hours now on iPhone 12."
115842,115726,2026-09-01T10:18:00Z,"@AppleSupport left AirPod won't connect unless I keep the case open right next to my ear."
115843,115727,2026-09-01T10:29:00Z,"@AppleSupport my Apple ID is locked for security reasons. Tried iforgot.apple.com but no verification code sent to my email."
115844,115728,2026-09-01T10:45:00Z,"@AppleSupport MacBook Air M1 screen has horizontal black bars across the bottom dock area."
115845,115729,2026-09-01T11:00:00Z,"@AppleSupport URGENT: I lost my iPhone at the airport, Find My says 'No location found'. Please blacklist IMEI!"
115846,115730,2026-09-01T11:12:00Z,"@AppleSupport how do I enable trade-in kit return tracking? Order # W829104820."
115847,115731,2026-09-01T11:25:00Z,"@AppleSupport battery health dropped from 99% to 86% in less than 2 months on iPhone 15 Pro Max."
115848,115732,2026-09-01T11:40:00Z,"@AppleSupport unknown charge on credit card: 'APPLE.COM/BILL 866-712-7753 CA' for $34.99. I didn't buy anything!"
115849,115733,2026-09-01T11:55:00Z,"@AppleSupport iCloud backup fails with error 'The last backup could not be completed because there is not enough iCloud storage'."
115850,115734,2026-09-01T12:10:00Z,"@AppleSupport iPhone 11 speaker sounds muffled during phone calls. Receiver ear speaker barely audible."
115851,115735,2026-09-01T12:25:00Z,"@AppleSupport new iOS update bricked my phone into bootloop (Apple logo flashing repeatedly). Need device restored!"
115852,115736,2026-09-01T12:40:00Z,"@AppleSupport Can I trade in my cracked iPad for the latest M4 iPad Pro in store directly?"
115853,115737,2026-09-01T12:50:00Z,"@AppleSupport I haven't received my App Store verification code after multiple attempts. Is the server down?"
115854,115738,2026-09-01T13:00:00Z,"@AppleSupport Apple Watch heart rate monitor isn't recording data during workouts."
115855,115739,2026-09-01T13:15:00Z,"@AppleSupport my MacBook MagSafe cable light stays orange and doesn't charge the battery."
115856,115740,2026-09-01T13:30:00Z,"@AppleSupport How do I cancel iCloud+ subscription and keep 5GB free tier?"
