id,text,intent,escalate,urgency
1,"@AppleSupport Battery dying in 3 hours on my iPhone 15 since updating. Any tips?",battery_issue,true,medium
2,"@AppleSupport My MacBook Pro M3 battery health dropped rapidly to 15%. Is replacement needed?",battery_issue,false,low
3,"@AppleSupport Why is my iPhone 13 draining battery fast in sleep mode? Loses 79% overnight.",battery_issue,false,low
4,"@AppleSupport Apple Watch Ultra overheating while charging and battery percentage drops instead of rising.",battery_issue,false,low
5,"@AppleSupport Major battery drain on iPad Air 5 after the latest patch! Please roll back or fix.",battery_issue,false,low
6,"@AppleSupport Battery runs out within 5 hours of normal browsing on iPhone 14 Pro.",battery_issue,false,low
7,"@AppleSupport My brand new iPad Pro M2 gets burning hot near the camera and battery dies so fast.",battery_issue,false,low
8,"@AppleSupport Battery dying in 5 hours on my iPhone 15 since updating. Any tips?",battery_issue,true,medium
9,"@AppleSupport My MacBook Pro M3 battery health dropped rapidly to 79%. Is replacement needed?",battery_issue,false,low
10,"@AppleSupport Why is my iPhone 13 draining battery fast in sleep mode? Loses 82% overnight.",battery_issue,false,low
11,"@AppleSupport Apple Watch Ultra overheating while charging and battery percentage drops instead of rising.",battery_issue,false,low
12,"@AppleSupport Major battery drain on iPad Air 5 after the latest patch! Please roll back or fix.",battery_issue,false,low
13,"@AppleSupport Battery runs out within 3 hours of normal browsing on iPhone 14 Pro.",battery_issue,false,low
14,"@AppleSupport My brand new iPad Pro M2 gets burning hot near the camera and battery dies so fast.",battery_issue,false,low
15,"@AppleSupport Battery dying in 3 hours on my iPhone 15 since updating. Any tips?",battery_issue,true,medium
16,"@AppleSupport My MacBook Pro M3 battery health dropped rapidly to 82%. Is replacement needed?",battery_issue,false,low
17,"@AppleSupport Why is my iPhone 13 draining battery fast in sleep mode? Loses 45% overnight.",battery_issue,false,low
18,"@AppleSupport Apple Watch Ultra overheating while charging and battery percentage drops instead of rising.",battery_issue,false,low
19,"@AppleSupport Major battery drain on iPad Air 5 after the latest patch! Please roll back or fix.",battery_issue,false,low
20,"@AppleSupport Battery runs out within 5 hours of normal browsing on iPhone 14 Pro.",battery_issue,false,low
21,"@AppleSupport My brand new iPad Pro M2 gets burning hot near the camera and battery dies so fast.",battery_issue,false,low
22,"@AppleSupport Battery dying in 5 hours on my iPhone 15 since updating. Any tips?",battery_issue,true,medium
23,"@AppleSupport My MacBook Pro M3 battery health dropped rapidly to 45%. Is replacement needed?",battery_issue,false,low
24,"@AppleSupport Why is my iPhone 13 draining battery fast in sleep mode? Loses 35% overnight.",battery_issue,false,low
25,"@AppleSupport Apple Watch Ultra overheating while charging and battery percentage drops instead of rising.",battery_issue,false,low
26,"@AppleSupport I was charged $14.99 for Apple TV+ subscription that I already cancelled.",billing_subscription,true,medium
27,"@AppleSupport Double charged on my card for Apple One. Where do I request a refund?",billing_subscription,false,low
